Date,ABB.ST,ASSA-B.ST,ATCO-A.ST,ERIC-B.ST,HEXA-B.ST,INVE-B.ST,SAND.ST,SEB-A.ST,SHB-A.ST,VOLV-B.ST
2020-03-30,164.56312561035156,163.05934143066406,74.9680404663086,63.808570861816406,58.27251052856445,100.04229736328125,117.04383850097656,44.538177490234375,43.995460510253906,74.31988525390625
2020-03-31,165.98341369628906,168.58294677734375,75.62484741210938,65.73870849609375,60.20356750488281,102.00609588623047,117.58493041992188,45.27957534790039,45.88287353515625,78.07670593261719
2020-04-01,159.4501190185547,159.96072387695312,70.48353576660156,64.56819152832031,57.69035720825195,98.59175109863281,109.75981140136719,43.500205993652344,44.48111343383789,73.73184967041016
2020-04-02,161.72256469726562,157.9398651123047,71.11772155761719,64.83010864257812,56.48344802856445,98.0561752319336,112.46530151367188,43.56760787963867,43.52084732055664,75.10391998291016
2020-04-03,159.781494140625,154.5269012451172,70.34767150878906,64.15888214111328,56.767417907714844,96.80648803710938,109.71818542480469,42.974483489990234,42.28464126586914,73.24183654785156
2020-04-06,167.45101928710938,163.5084228515625,73.54115295410156,65.28851318359375,59.635616302490234,101.22503662109375,115.5870361328125,45.45481872558594,43.66434097290039,79.05674743652344
2020-04-07,172.23263549804688,170.73854064941406,75.87397766113281,65.19027709960938,62.73098373413086,105.30884552001953,119.62444305419922,47.18026351928711,46.059471130371094,83.95696258544922
2020-04-08,168.53990173339844,163.05934143066406,75.08128356933594,66.2052993774414,62.106231689453125,106.44696807861328,117.79304504394531,46.789344787597656,45.452415466308594,82.38890075683594
2020-04-09,170.2442169189453,161.35284423828125,74.80948638916016,65.48497772216797,63.99468994140625,103.25579833984375,116.71086120605469,46.762386322021484,45.29788589477539,82.97691345214844
2020-04-14,172.94276428222656,166.4722900390625,77.68590545654297,67.44953155517578,66.20973205566406,108.0760269165039,117.4184341430664,46.668025970458984,45.25373458862305,82.09488677978516
2020-04-15,164.326416015625,162.7898712158203,74.13004302978516,66.51634216308594,62.631587982177734,105.01875305175781,110.05117797851562,44.349456787109375,42.637847900390625,76.83531951904297
2020-04-16,162.62208557128906,163.1940460205078,76.48553466796875,68.53002166748047,62.58899688720703,104.68399810791016,112.3820571899414,43.66197204589844,42.08597183227539,77.97871398925781
2020-04-17,166.31478881835938,172.310302734375,78.84101104736328,70.88748168945312,65.30099487304688,108.43307495117188,117.62654876708984,45.50873947143555,43.98442459106445,81.27818298339844
2020-04-20,168.3505401611328,173.16355895996094,78.56922149658203,70.60917663574219,65.04541778564453,108.56696319580078,121.16452026367188,45.30653762817383,44.3707389831543,81.70286560058594
2020-04-21,162.7641143798828,170.3792724609375,76.07783508300781,66.58184814453125,61.97844696044922,106.71475219726562,114.67132568359375,43.41932678222656,42.95793533325195,78.86074829101562
2020-04-22,163.28488159179688,172.5348358154297,79.40723419189453,69.75786590576172,62.631587982177734,107.51813507080078,116.58598327636719,46.182743072509766,46.247108459472656,82.58490753173828
2020-04-23,164.98919677734375,173.70240783691406,83.68788146972656,68.79196166992188,64.3212661743164,108.70088195800781,120.7066421508789,46.68151092529297,46.77690887451172,78.2073745727539
2020-04-24,164.56312561035156,171.54685974121094,78.88612365722656,66.38536834716797,62.276615142822266,106.3800277709961,118.58387756347656,46.061424255371094,46.35749053955078,75.92060852050781
2020-04-27,169.5341033935547,171.591796875,78.7260513305664,68.02251434326172,64.23606872558594,107.07180786132812,124.07810974121094,47.30158996582031,47.64887237548828,77.29267883300781
2020-04-28,176.16207885742188,175.81307983398438,79.2519760131836,67.26943969726562,67.04747772216797,108.12065124511719,127.4912109375,48.946163177490234,49.17204284667969,80.3961410522461
2020-04-29,180.61228942871094,168.5380401611328,79.34344482421875,68.36630249023438,68.25437927246094,111.06636810302734,129.98858642578125,53.488948822021484,51.32435989379883,84.2509765625
2020-04-30,177.5349884033203,159.8229217529297,77.58277893066406,69.65963745117188,69.16311645507812,109.61583709716797,125.9511489868164,54.14946365356445,49.83428955078125,82.42156982421875
2020-05-04,167.7350616455078,161.41162109375,73.46698760986328,66.6309585571289,65.17321014404297,103.54589080810547,117.04383850097656,49.687564849853516,46.33540344238281,78.63206481933594
2020-05-05,169.5341033935547,163.4542236328125,77.69711303710938,67.48226165771484,65.81216430664062,105.71054077148438,123.7034912109375,50.658138275146484,48.04622268676758,80.85348510742188
2020-05-06,165.79403686523438,164.90673828125,75.47915649414062,66.89289093017578,65.45718383789062,104.17073822021484,121.62236022949219,49.444923400878906,47.207366943359375,80.46147918701172
2020-05-07,167.07228088378906,165.0429229736328,77.30840301513672,67.35128784179688,65.8831558227539,106.04528045654297,121.87210083007812,50.30765151977539,48.35527420043945,79.87345123291016
2020-05-08,169.15536499023438,170.172119140625,78.79466247558594,68.44817352294922,67.14685821533203,107.9198226928711,124.86897277832031,50.80641174316406,48.25593566894531,82.74825286865234
2020-05-11,170.3389434814453,168.17494201660156,79.06903839111328,68.53002166748047,67.58702850341797,106.33538818359375,123.16242218017578,50.105445861816406,48.94025802612305,81.11485290527344
2020-05-12,169.58143615722656,168.81039428710938,80.44097900390625,69.74148559570312,68.48155212402344,107.13876342773438,124.66083526611328,50.80641174316406,49.59147262573242,80.8208236694336
2020-05-13,167.07228088378906,167.26708984375,79.0919189453125,67.31854248046875,66.74929809570312,103.90294647216797,118.45903015136719,48.353031158447266,46.26918411254883,77.55401611328125
2020-05-14,160.82302856445312,159.05126953125,76.57670593261719,65.10842895507812,63.568721771240234,99.93070220947266,114.29671478271484,47.55771255493164,45.4193000793457,76.41063690185547
